SYMBOL,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
IBULHSGFIN,EQ,1326.95,1349.5,1313,1344.8,1346,1315.35,1260034,1684860733.8,13-APR-2018,45550,INE148I01020
ICICIBANK,EQ,288,291.1,285.8,288.25,288.1,286.75,17497198,5051433203.7,13-APR-2018,104123,INE090A01021
ICICIPRULI,EQ,396.75,398,392.85,394.75,394.5,395.7,200176,79159502.55,13-APR-2018,5648,INE726G01019
IDBI,EQ,71.1,72.9,71.1,72.1,71.75,71.35,19568769,1410831213.9,13-APR-2018,31932,INE008A01015
IDEA,EQ,73,74.3,71.9,72.15,72.15,73.15,10315718,751483746.45,13-APR-2018,34789,INE669E01016
IDFC,EQ,52.5,53,52.1,52.4,52.25,52.45,2070519,108648559.1,13-APR-2018,4675,INE043D01016
IDFCBANK,EQ,49.15,49.35,48.8,48.95,49,48.9,3468311,170121412.9,13-APR-2018,9723,INE092T01019
IGL,EQ,290.5,295.35,289.9,293.75,294.65,289.85,3278554,961335499.95,13-APR-2018,23390,INE203G01027
INDIACEM,EQ,146.8,148.55,145.1,146.25,146.3,146.05,2180635,320422765.25,13-APR-2018,13922,INE383A01012
INDIANB,EQ,315.6,325,315.6,321.05,321.1,316.15,1227650,394750312.25,13-APR-2018,12356,INE562A01011
INDIGO,EQ,1493,1494.95,1453.05,1459.4,1463,1493.4,714195,1050211414.05,13-APR-2018,39383,INE646L01027
INDUSINDBK,EQ,1857,1871.9,1842.85,1861.3,1865.55,1857.8,408479,760522048.25,13-APR-2018,13922,INE095A01012
INFIBEAM,EQ,171.5,173,169.55,172.3,171.95,170.6,3477531,594699150.65,13-APR-2018,39939,INE483S01020
INFRATEL,EQ,341,348.45,336.9,339.7,339.9,340.7,2358332,811214220.2,13-APR-2018,36305,INE121J01017
INFY,EQ,1174,1185.9,1150.25,1171.45,1168,1162.6,10613519,12442924999.05,13-APR-2018,180965,INE009A01021
IOC,EQ,169.6,169.9,164.55,165.35,165.65,168.25,11452443,1909288860.7,13-APR-2018,76457,INE242A01010
IRB,EQ,270.55,279.2,268.85,272.2,272.55,272.8,5400773,1477712164.5,13-APR-2018,43446,INE821I01014
ITC,EQ,263,263.5,260,260.75,260.5,261.95,4991314,1305660006,13-APR-2018,42992,INE154A01025
IBULHSGFIN,EQ,1339.85,1378,1334.05,1372.15,1372.2,1344.8,1576721,2154546317.65,16-APR-2018,61269,INE148I01020
ICICIBANK,EQ,285,288.95,284.1,287.6,287.5,288.25,16874313,4847744516.3,16-APR-2018,70707,INE090A01021
ICICIPRULI,EQ,390,395.95,388,389.45,391.4,394.75,962903,376360931.45,16-APR-2018,10237,INE726G01019
IDBI,EQ,72,72.55,70.2,72.15,71.75,72.1,29006974,2081037297.4,16-APR-2018,35944,INE008A01015
IDEA,EQ,72,72,70.65,71.3,71.25,72.15,7884586,561922429.3,16-APR-2018,25311,INE669E01016
IDFC,EQ,52.1,52.75,52.05,52.5,52.45,52.4,1272932,66706177.35,16-APR-2018,4620,INE043D01016
IDFCBANK,EQ,48.6,49.4,48.5,49.05,49,48.95,2890445,141651371.65,16-APR-2018,9931,INE092T01019
IGL,EQ,292.9,296.75,289.05,295.75,296,293.75,1572846,461170599.05,16-APR-2018,16104,INE203G01027
INDIACEM,EQ,145,151.5,144.2,151.15,151,146.25,4422693,661122799.4,16-APR-2018,23593,INE383A01012
INDIANB,EQ,321,323.95,315.1,318.9,318.15,321.05,882316,281086945.8,16-APR-2018,10514,INE562A01011
INDIGO,EQ,1471.1,1484.45,1448.05,1457.25,1457,1459.4,1152305,1687133744.25,16-APR-2018,32597,INE646L01027
INDUSINDBK,EQ,1858.8,1872.75,1852.65,1864.65,1864.65,1861.3,636242,1187164596.75,16-APR-2018,21106,INE095A01012
INFIBEAM,EQ,170.25,171.85,168.25,170.75,170.7,172.3,5158475,876114532.85,16-APR-2018,48383,INE483S01020
