"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","30-Oct-2017","30-Nov-2017","CE","11350","1","1","1","1","1","1","12","102.16",".01","900","-900","10363.65"
"NIFTY","30-Oct-2017","30-Nov-2017","CE","11400","0.95","0.95","0.75","0.8","0.8","0.8","811","6934.55",".5","34350","5250","10363.65"
"NIFTY","30-Oct-2017","30-Nov-2017","CE","9850","0","0","0","505","505","572.2","0","0","0","300","0","10363.65"
"NIFTY","30-Oct-2017","30-Nov-2017","CE","9900","495.3","519.45","495","507.15","506.5","507.15","484","3777.78","184.08","766950","-17475","10363.65"
"NIFTY","30-Oct-2017","30-Nov-2017","CE","9950","482.75","482.75","482.75","482.75","482.75","482.75","1","7.82",".36","3750","0","10363.65"
"NIFTY","30-Oct-2017","30-Nov-2017","CE","10000","410","429","405.95","419.3","422","419.3","3897","30451.94","1224.44","1037850","-55800","10363.65"
"NIFTY","30-Oct-2017","30-Nov-2017","CE","10050","383.85","383.85","362","371.2","371.2","371.2","7","54.69","1.93","4425","225","10363.65"
"NIFTY","30-Oct-2017","30-Nov-2017","CE","10100","320","344","315.85","334.2","337.5","334.2","3266","25559.75","819.8","1109850","-96450","10363.65"
"NIFTY","30-Oct-2017","30-Nov-2017","CE","10150","295.8","305.55","289","291.4","291","291.4","98","767.74","21.72","20100","-1350","10363.65"
"NIFTY","30-Oct-2017","30-Nov-2017","CE","10200","249.7","264.95","240.5","256.95","258.5","256.95","5777","45303.38","1109.33","1329450","-34050","10363.65"
"NIFTY","30-Oct-2017","30-Nov-2017","CE","10250","214","225.5","211","218.15","221.5","218.15","323","2535.98","52.92","57075","2175","10363.65"
"NIFTY","30-Oct-2017","30-Nov-2017","CE","10300","178","192.55","170.9","183.9","186.6","183.9","27976","219967.11","3852.51","2379075","14175","10363.65"
"NIFTY","30-Oct-2017","30-Nov-2017","CE","10350","169","169","140.4","153.4","152.9","153.4","4582","36092.28","524.5","229350","-14700","10363.65"
